EntityNumber,ActivityGroup,NaceVersion,NaceCode,Classification
0410.958.217,1,2008,85599,SECO
0411.611.283,6,2008,94110,MAIN
0411.611.283,1,2008,70220,MAIN
0411.611.283,1,2003,74142,MAIN
0411.611.283,6,2003,91110,MAIN
0411.669.186,1,2008,52210,MAIN
0411.669.186,1,2003,63210,MAIN
0411.946.033,1,2008,69203,MAIN
0411.946.033,1,2008,69201,SECO
0411.946.033,1,2008,69202,SECO
0411.946.033,1,2003,74121,MAIN
0412.104.302,6,2008,56101,MAIN
0412.104.302,1,2008,58110,MAIN
0412.104.302,1,2008,56101,SECO
0412.104.302,1,2003,92313,MAIN
0412.104.302,1,2003,22110,SECO
0412.665.021,1,2008,56309,MAIN
0412.665.021,1,2008,94999,SECO
0412.671.157,6,2008,90023,MAIN
0412.671.157,1,2008,47789,MAIN
0412.671.157,1,2003,52498,MAIN
0412.671.157,6,2003,92313,MAIN
0412.726.387,1,2008,52210,MAIN
0412.726.387,1,2003,63210,MAIN
0412.747.767,1,2008,70220,MAIN
0412.747.767,1,2008,62020,SECO
0412.747.767,1,2008,64200,SECO
0412.747.767,1,2003,22240,MAIN
0412.760.932,6,2008,66220,MAIN
0412.760.932,6,2003,67201,MAIN
0412.892.277,6,2008,56101,MAIN
0412.892.277,1,2008,56101,MAIN
0412.892.277,1,2008,56210,SECO
0412.892.277,1,2008,68203,SECO
0412.892.277,1,2003,55301,MAIN
0412.892.277,6,2003,55301,MAIN
0412.924.941,1,2008,68201,MAIN
0412.937.710,6,2008,96031,MAIN
0412.937.710,1,2008,96031,MAIN
0412.937.710,1,2003,93031,MAIN
0412.937.710,6,2003,93031,MAIN
0412.951.170,6,2008,56101,MAIN
0412.951.170,1,2008,68100,MAIN
0413.005.214,6,2008,94999,MAIN
0413.005.214,1,2008,94999,MAIN
0413.005.214,1,2003,91330,MAIN
0413.005.214,6,2003,91330,MAIN
0413.021.842,6,2008,43999,MAIN
