EntityNumber,TypeOfAddress,CountryNL,CountryFR,Zipcode,MunicipalityNL,MunicipalityFR,StreetNL,StreetFR,HouseNumber,Box,ExtraAddressInfo,DateStrikingOff,FullAddress,Latitude,Longitude
0892.012.592,REGO,,,2060,Antwerpen,Antwerpen,Oranjestraat,Oranjestraat,68,GLVL,,,"Oranjestraat 68, 2060 Antwerpen, Belgium",51.227438649999996,4.421534766651207
0892.021.205,REGO,,,2060,Antwerpen,Antwerpen,Van Aerdtstraat,Van Aerdtstraat,33,,,,"Van Aerdtstraat 33, 2060 Antwerpen, Belgium",51.228041250000004,4.416562279102927
0892.194.320,REGO,,,2060,Antwerpen,Antwerpen,Handelstraat,Handelstraat,1,,,,"Handelstraat 1, 2060 Antwerpen, Belgium",51.2233373,4.427503193211368
0892.214.116,REGO,,,2060,Antwerpen,Antwerpen,De Coninckplein,De Coninckplein,17,,,,"De Coninckplein 17, 2060 Antwerpen, Belgium",51.2217031,4.420043200385888
0892.220.549,REGO,,,2060,Antwerpen,Antwerpen,Oranjestraat,Oranjestraat,54A/01,,,,"Oranjestraat 54A/01, 2060 Antwerpen, Belgium",51.22841022094744,4.424736128630702
0892.425.239,REGO,,,2060,Antwerpen,Antwerpen,Duboisstraat,Duboisstraat,39,,,,"Duboisstraat 39, 2060 Antwerpen, Belgium",51.229103949999995,4.417592504360639
0892.874.904,REGO,,,2060,Antwerpen,Antwerpen,Van Helmontstraat,Van Helmontstraat,8,,,,"Van Helmontstraat 8, 2060 Antwerpen, Belgium",51.2247189,4.435339417058465
0893.077.713,REGO,,,2060,Antwerpen,Antwerpen,Vliegenstraat,Vliegenstraat,5,,,,"Vliegenstraat 5, 2060 Antwerpen, Belgium",51.2256328,4.420426921818181
0893.200.942,REGO,,,2060,Antwerpen,Antwerpen,Kerkstraat,Kerkstraat,70,,,,"Kerkstraat 70, 2060 Antwerpen, Belgium",51.21854265,4.431012854819183
0893.383.955,REGO,,,2060,Antwerpen,Antwerpen,Delinstraat,Delinstraat,4,32,,,"Delinstraat 4, 2060 Antwerpen, Belgium",51.22261705,4.423577249379269
0893.554.201,REGO,,,2060,Antwerpen,Antwerpen,Bredastraat,Bredastraat,123,,1e verdieping,,"Bredastraat 123, 2060 Antwerpen, Belgium",51.235978450000005,4.42406072281066
