EntityNumber,omzet
0765.255.269,61243.31
0765.469.263,558629.25
0765.601.204,3917089.25
0765.611.201,156760.98
0765.622.681,3835.74
0765.670.389,261578.66
0765.767.092,63315.2
0766.284.954,447137.05
0766.318.509,42293.07
0766.438.174,28337.62
0766.539.332,121515.43
0766.570.610,42616.97
0766.608.915,6597.62
0766.610.497,9934.52
0766.825.580,420977
0767.569.512,32134.26
0767.674.034,66930.73
0767.712.042,1800
0767.757.671,710949.85
0767.763.314,154145
0767.768.559,117906.06
0767.823.888,58284
0767.832.796,9975.51
0767.889.414,7694.97
0768.266.922,126558.44
0768.377.283,113639.43
0768.507.145,244750.34
0768.551.784,17461.29
0768.593.950,36151.32
0768.601.076,252309.21
0768.632.849,12105210.71
0768.689.861,86384.43
0768.769.342,23270.68
0768.845.259,18709.45
0768.880.002,49235.93
0768.969.874,93529.17
0769.253.253,178757.82
0769.265.329,37729.03
0769.340.850,14336.77
0769.351.045,114278.83
0769.475.264,604799.95
0769.606.710,4292698.2
0769.749.834,3980.08
0769.753.891,3192.66
0769.850.002,171659.13
0770.392.212,141110.13
0770.422.203,122097.51
0770.517.322,92179.67
0770.553.053,76527.04
0770.569.285,2734769.34
0770.662.723,73435.17
0770.733.888,106002.66
0770.777.638,422735.89
0770.919.376,19.78
0770.923.138,65147.53
0770.931.650,173376.48
0771.513.254,321244.85
0771.640.344,172496.76
0771.705.274,71592.05
0771.762.781,147208.39
0772.675.670,274737.64
0773.694.962,17570.09
0773.932.613,5758.91
0773.935.383,13496.61
0774.462.450,206377
0774.579.741,87643.13
0774.713.858,90961.53
0774.855.893,42044.46
0775.263.194,1162081.71
0775.350.890,94000.62
0775.793.330,37327.26
0775.945.263,63766.25
0776.476.288,36091
0776.658.610,195885
0776.697.410,269040.58
0776.749.670,144758.23
0777.270.995,51391
0778.348.685,22866.07
0778.395.009,79167.14
0778.603.756,313165.94
0778.608.904,44842.55
0779.352.438,112299.98
0779.505.361,32668.07
0779.549.903,16195.13
0780.584.536,89062.50
0780.724.789,647431.89
0780.802.587,9721.90
0781.610.558,168713.03
0781.697.858,72650.96
0781.850.484,54222.63
0781.864.441,184664.42
0781.883.148,152463.75
0781.950.949,61030.34
0782.372.603,176546.33
0782.560.267,78488.18
